,negative
VIOLENCE,0.0
VIOLENT,0.0
VIOLENTLY,0.0
VITIATE,0.0
VITIATED,0.0
VITIATES,0.0
VITIATING,0.0
VITIATION,0.0
VOIDED,0.0
VOIDING,0.0
VOLATILE,0.0
VOLATILITY,0.0
VULNERABILITIES,0.0
VULNERABILITY,0.0
VULNERABLE,0.0
VULNERABLY,0.0
WARN,0.0
WARNED,0.0
WARNING,0.0
WARNINGS,0.0
WARNS,0.0
WASTED,0.0
WASTEFUL,0.0
WASTING,0.0
WEAK,0.0
WEAKEN,0.0
WEAKENED,0.0
WEAKENING,0.0
WEAKENS,0.0
WEAKER,0.0
WEAKEST,0.0
WEAKLY,0.0
WEAKNESS,0.0
WEAKNESSES,0.0
WILLFULLY,0.0
WORRIES,0.0
WORRY,0.0
WORRYING,0.0
WORSE,0.0
WORSEN,0.0
WORSENED,0.0
WORSENING,0.0
WORSENS,0.0
WORST,0.0
WORTHLESS,0.0
WRITEDOWN,0.0
WRITEDOWNS,0.0
WRITEOFF,0.0
WRITEOFFS,0.0
WRONG,0.0
WRONGDOING,0.0
WRONGDOINGS,0.0
WRONGFUL,0.0
WRONGFULLY,0.0
WRONGLY,0.0
